area_title,ai_emp_24,total_emp_24,ai_per_1000_24,ai_emp_25,total_emp_25,ai_per_1000_25,delta_emp,pct_change_emp,delta_per_1000
"New York-Newark-Jersey City, NY-NJ",21240.0,9363020.0,2.2684988390497938,25260.0,9492000.0,2.661188369152971,4020.0,18.926553672316384,0.3926895301031772
"Washington-Arlington-Alexandria, DC-VA-MD-WV",11680.0,3118630.0,3.745234285567701,12680.0,3136190.0,4.043122387355358,1000.0,8.561643835616438,0.2978881017876569
"San Francisco-Oakland-Fremont, CA",11210.0,2405740.0,4.659688910688603,12130.0,2373920.0,5.109691986250589,920.0,8.206958073148975,0.4500030755619866
"Los Angeles-Long Beach-Anaheim, CA",11150.0,6199940.0,1.7984045006887164,10790.0,6271560.0,1.7204650836474498,-360.0,-3.2286995515695067,-0.07793941704126661
"Dallas-Fort Worth-Arlington, TX",9500.0,4003820.0,2.372734038992762,10550.0,4049800.0,2.6050669168847844,1050.0,11.052631578947368,0.23233287789202262
"Seattle-Tacoma-Bellevue, WA",8170.0,2082610.0,3.9229620524246016,9990.0,2086210.0,4.788587917803098,1820.0,22.276621787025704,0.8656258653784965
"Boston-Cambridge-Newton, MA-NH",9740.0,2707940.0,3.5968300627044916,9550.0,2703890.0,3.5319484150612634,-190.0,-1.9507186858316223,-0.06488164764322812
"Chicago-Naperville-Elgin, IL-IN",6070.0,4473740.0,1.356806609235226,8430.0,4513280.0,1.8678211854792965,2360.0,38.87973640856672,0.5110145762440705
"San Jose-Sunnyvale-Santa Clara, CA",8760.0,1134660.0,7.72037438527841,8270.0,1134970.0,7.286536208005498,-490.0,-5.5936073059360725,-0.43383817727291163
"Atlanta-Sandy Springs-Roswell, GA",6040.0,2871980.0,2.1030787122473,6930.0,2889670.0,2.398197718078535,890.0,14.735099337748345,0.2951190058312352
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5970.0,2868720.0,2.0810675144315236,6830.0,2897830.0,2.3569360521493667,860.0,14.40536013400335,0.27586853771784314
"Denver-Aurora-Centennial, CO",4940.0,1618390.0,3.0524162902637806,4670.0,1609350.0,2.901792649206201,-270.0,-5.465587044534413,-0.15062364105757942
"Charlotte-Concord-Gastonia, NC-SC",3990.0,1340800.0,2.9758353221957043,4530.0,1358370.0,3.334879303871552,540.0,13.533834586466165,0.3590439816758475
"San Diego-Chula Vista-Carlsbad, CA",4120.0,1533290.0,2.687032459612989,4510.0,1538060.0,2.932265321248846,390.0,9.466019417475728,0.245232861635857
"Houston-Pasadena-The Woodlands, TX",5480.0,3246360.0,1.688044455944504,4440.0,3289720.0,1.349658937538757,-1040.0,-18.97810218978102,-0.33838551840574693
"Austin-Round Rock-San Marcos, TX",3440.0,1260220.0,2.729682118995096,4030.0,1293690.0,3.115120314758559,590.0,17.151162790697676,0.38543819576346294
"Detroit-Warren-Dearborn, MI",2930.0,1909060.0,1.534786753690298,3960.0,1904530.0,2.079253149070899,1030.0,35.153583617747444,0.5444663953806013
"Phoenix-Mesa-Chandler, AZ",3420.0,2343250.0,1.4595113624239837,3640.0,2375760.0,1.5321412937333736,220.0,6.432748538011696,0.07262993130938988
"Minneapolis-St. Paul-Bloomington, MN-WI",2920.0,1931660.0,1.511653189484692,3280.0,1951650.0,1.6806292111802834,360.0,12.32876712328767,0.16897602169559134
"Miami-Fort Lauderdale-West Palm Beach, FL",2360.0,2782340.0,0.8482069049792621,3150.0,2819940.0,1.117045043511564,790.0,33.47457627118644,0.2688381385323019
"Salt Lake City-Murray, UT",80.0,816680.0,0.09795758436596953,2970.0,826210.0,3.594727732658767,2890.0,3612.5,3.4967701482927978
"Sacramento-Roseville-Folsom, CA",2660.0,1066390.0,2.4943969842177816,2850.0,1080590.0,2.63744806078161,190.0,7.142857142857142,0.14305107656382843
"St. Louis, MO-IL",2830.0,1339700.0,2.1124132268418303,2740.0,1341320.0,2.0427638445710192,-90.0,-3.180212014134275,-0.06964938227081108
"Portland-Vancouver-Hillsboro, OR-WA",2740.0,1213760.0,2.257447930398102,2360.0,1208410.0,1.9529795350915666,-380.0,-13.86861313868613,-0.30446839530653547
"Pittsburgh, PA",1950.0,1109050.0,1.7582615752220367,2320.0,1114490.0,2.081669642616802,370.0,18.974358974358974,0.32340806739476546
"Raleigh-Cary, NC",1940.0,723590.0,2.681076300114706,2270.0,743120.0,3.054688341048552,330.0,17.010309278350515,0.37361204093384615
"Baltimore-Columbia-Towson, MD",2350.0,1340750.0,1.7527503263099011,2160.0,1356680.0,1.592121944747472,-190.0,-8.085106382978724,-0.1606283815624292
"Indianapolis-Carmel-Greenwood, IN",1550.0,1096770.0,1.4132406976850205,2000.0,1105170.0,1.8096763393867006,450.0,29.03225806451613,0.3964356417016801
"Tampa-St. Petersburg-Clearwater, FL",1790.0,1442290.0,1.241081890604525,1850.0,1447120.0,1.2784012383216319,60.0,3.35195530726257,0.03731934771710699
"Cincinnati, OH-KY-IN",1510.0,1092300.0,1.382404101437334,1730.0,1101030.0,1.5712560057400797,220.0,14.56953642384106,0.18885190430274568
"San Antonio-New Braunfels, TX",1440.0,1114520.0,1.2920360334493772,1730.0,1126880.0,1.5352122674996451,290.0,20.13888888888889,0.2431762340502679
"Orlando-Kissimmee-Sanford, FL",1620.0,1397600.0,1.1591299370349168,1690.0,1411730.0,1.1971127623554079,70.0,4.320987654320987,0.03798282532049102
"Providence-Warwick, RI-MA",1710.0,706440.0,2.420587735688806,1680.0,714120.0,2.3525457906234246,-30.0,-1.7543859649122806,-0.06804194506538153
"Columbus, OH",1220.0,1085150.0,1.1242685343040133,1480.0,1105580.0,1.3386638687385806,260.0,21.311475409836063,0.21439533443456726
"Durham-Chapel Hill, NC",1620.0,342530.0,4.7295127434093365,1410.0,344020.0,4.098598918667519,-210.0,-12.962962962962962,-0.6309138247418176
"Kansas City, MO-KS",1050.0,1093430.0,0.9602809507695966,1380.0,1096110.0,1.2589977283301859,330.0,31.428571428571427,0.29871677756058923
"Oklahoma City, OK",1350.0,669400.0,2.016731401254855,1380.0,677680.0,2.0363593436430176,30.0,2.2222222222222223,0.019627942388162456
"Nashville-Davidson--Murfreesboro--Franklin, TN",1490.0,1096500.0,1.3588691290469674,1360.0,1099300.0,1.237150914218139,-130.0,-8.724832214765101,-0.1217182148288285
"Cleveland, OH",1160.0,1036780.0,1.1188487432242136,1300.0,1031130.0,1.2607527663825122,140.0,12.068965517241379,0.14190402315829864
"Madison, WI",830.0,405450.0,2.0471081514366753,1290.0,408070.0,3.161222339304531,460.0,55.42168674698795,1.1141141878678558
"Rochester, NY",1030.0,490900.0,2.0981870034630274,1240.0,494280.0,2.508699522537833,210.0,20.388349514563107,0.41051251907480557
"Des Moines-West Des Moines, IA",1320.0,405130.0,3.25821341297855,1240.0,404130.0,3.0683196001286714,-80.0,-6.0606060606060606,-0.1898938128498786
"Virginia Beach-Chesapeake-Norfolk, VA-NC",1120.0,754860.0,1.4837188352807145,1230.0,763060.0,1.6119309097580794,110.0,9.821428571428571,0.12821207447736493
"Richmond, VA",960.0,652900.0,1.470362995864604,1210.0,660350.0,1.8323616264102371,250.0,26.041666666666668,0.3619986305456331
"Omaha, NE-IA",1190.0,491140.0,2.4229343975241275,1200.0,498100.0,2.4091547881951416,10.0,0.8403361344537815,-0.01377960932898592
"Las Vegas-Henderson-North Las Vegas, NV",890.0,1119360.0,0.7950971983990852,1180.0,1136960.0,1.0378553335209684,290.0,32.58426966292135,0.24275813512188316
"Riverside-San Bernardino-Ontario, CA",980.0,1695430.0,0.5780244539733284,1150.0,1716760.0,0.6698664926955428,170.0,17.346938775510203,0.09184203872221441
"Ogden, UT",1080.0,270300.0,3.9955604883462823,1120.0,271370.0,4.127206397169916,40.0,3.7037037037037033,0.13164590882363347
"Milwaukee-Waukesha, WI",1220.0,819450.0,1.4888034657392153,1080.0,820780.0,1.3158215356124663,-140.0,-11.475409836065573,-0.172981930126749
"Charleston-North Charleston, SC",860.0,388220.0,2.2152387821338415,1050.0,394170.0,2.6638252530633992,190.0,22.093023255813954,0.4485864709295577
"Albany-Schenectady-Troy, NY",680.0,442970.0,1.535092669932501,1030.0,449410.0,2.2918938163369753,350.0,51.470588235294116,0.7568011464044744
"Jacksonville, FL",830.0,756360.0,1.097361045005024,940.0,765930.0,1.227266199261029,110.0,13.253012048192772,0.12990515425600502
"Buffalo-Cheektowaga, NY",690.0,531990.0,1.297016861219196,870.0,534550.0,1.6275371808062855,180.0,26.08695652173913,0.3305203195870896
"Grand Rapids-Wyoming-Kentwood, MI",520.0,561410.0,0.9262392903582053,850.0,598260.0,1.4207869488182396,330.0,63.46153846153846,0.49454765846003435
"Provo-Orem-Lehi, UT",910.0,298460.0,3.0489847885813846,840.0,304660.0,2.757171929363881,-70.0,-7.6923076923076925,-0.29181285921750355
"Oxnard-Thousand Oaks-Ventura, CA",830.0,320180.0,2.5922918358423384,810.0,323890.0,2.500849053691068,-20.0,-2.4096385542168677,-0.09144278215127022
"Baton Rouge, LA",780.0,403240.0,1.9343319115167146,770.0,409690.0,1.8794698430520638,-10.0,-1.282051282051282,-0.054862068464650804
"Warner Robins, GA",80.0,75750.0,1.056105610561056,760.0,76050.0,9.993425378040762,680.0,850.0,8.937319767479705
"Colorado Springs, CO",560.0,318850.0,1.756311745334797,710.0,316060.0,2.24640890970069,150.0,26.785714285714285,0.4900971643658931
"Bakersfield-Delano, CA",690.0,335190.0,2.058533965810436,690.0,338230.0,2.040031930934571,0.0,0.0,-0.01850203487586466
