city,country,country_code,ai_works,institutions,lat,lon,top_institution,top_institution_works
Leuven,Belgium,BE,1252,1,50.87959,4.70093,KU Leuven,1252
Suzhou,China,CN,1244,1,31.30408,120.59538,Soochow University,1244
Philadelphia,United States,US,1239,1,39.95238,-75.16362,University of Pennsylvania,1239
Bologna,Italy,IT,1238,1,44.49381,11.33875,University of Bologna,1238
Vancouver,Canada,CA,1233,1,49.24966,-123.11934,University of British Columbia,1233
Macao,Macao,MO,1217,1,22.20056,113.54611,University of Macau,1217
Rome,Italy,IT,1208,1,41.89193,12.51133,Sapienza University of Rome,1208
State College,United States,US,1203,1,40.79339,-77.86,Pennsylvania State University,1203
Vijayawada,India,IN,1194,1,16.507450103759766,80.64659881591797,Koneru Lakshmaiah Education Foundation,1194
Aachen,Germany,DE,1185,1,50.776641845703125,6.083419799804688,RWTH Aachen University,1185
Manipal,India,IN,1178,1,13.35,74.78333,Manipal Academy of Higher Education,1178
Gif-sur-Yvette,France,FR,1175,1,48.68333,2.13333,Université Paris-Saclay,1175
Tempe,United States,US,1154,1,33.41477,-111.90931,Arizona State University,1154
Wuxi,China,CN,1112,1,31.568870544433597,120.28856658935548,Jiangnan University,1112
College Station,United States,US,1109,1,30.62798,-96.33441,Texas A&M University,1109
Lausanne,Switzerland,CH,1103,1,46.516,6.63282,École Polytechnique Fédérale de Lausanne,1103
Manchester,United Kingdom,GB,1096,1,53.48095,-2.23743,University of Manchester,1096
Bandung,Indonesia,ID,1090,1,-6.92222,107.60694,Telkom University,1090
Durham,United States,US,1063,1,35.99403,-78.89862,Duke University,1063
Chicago,United States,US,1058,1,41.85003,-87.65005,University of Chicago,1058
Pulchowk,Nepal,NP,1056,1,27.67824,85.31685,Institute of Engineering,1056
Heidelberg,Germany,DE,1052,1,49.40768,8.69079,Heidelberg University,1052
Edmonton,Canada,CA,1051,1,53.55014,-113.46871,University of Alberta,1051
College Park,United States,US,1047,1,38.98067,-76.93692,"University of Maryland, College Park",1047
Glasgow,United Kingdom,GB,1035,1,55.86515,-4.25763,University of Glasgow,1035
Haikou,China,CN,1031,1,20.034210205078125,110.34651184082033,Hainan University,1031
Karlsruhe,Germany,DE,1023,1,49.00937,8.40444,Karlsruhe Institute of Technology,1023
Guilin,China,CN,1022,1,25.281644821166992,110.3372802734375,Guilin University of Electronic Technology,1022
Dehradun,India,IN,1020,1,30.32443046569824,78.03392028808594,Graphic Era University,1020
Zhenjiang,China,CN,1011,1,32.21086120605469,119.455078125,Jiangsu University,1011
Padua,Italy,IT,1008,1,45.40797,11.88586,University of Padua,1008
Hamburg,Germany,DE,1006,1,53.55073,9.99302,Universität Hamburg,1006
Waterloo,Canada,CA,1000,1,43.4668,-80.51639,University of Waterloo,1000
Blacksburg,United States,US,999,1,37.22957,-80.41394,Virginia Tech,999
Nijmegen,The Netherlands,NL,999,1,51.8425,5.85278,Radboud University Nijmegen,999
Nanning,China,CN,997,1,22.816669464111328,108.3166732788086,Guangxi University,997
Brisbane,Australia,AU,985,1,-27.46794,153.02809,The University of Queensland,985
St Louis,United States,US,984,1,38.62727,-90.19789,Washington University in St. Louis,984
Ningbo,China,CN,971,1,29.87819,121.54945,Ningbo University,971
Oldham,United Kingdom,GB,962,1,53.54231643676758,-2.117724895477295,Oldham Council,962
