area,ai_emp,total_emp,ai_per_1000
"Palm Bay-Melbourne-Titusville, FL",290.0,242240.0,1.1971598414795244
"Green Bay, WI",200.0,171070.0,1.1691120593908926
"Kalamazoo-Portage, MI",140.0,119780.0,1.1688094840540992
"Allentown-Bethlehem-Easton, PA-NJ",430.0,370040.0,1.1620365365906389
"Orlando-Kissimmee-Sanford, FL",1620.0,1397600.0,1.1591299370349168
"Las Cruces, NM",90.0,77990.0,1.153994101807924
"Columbus, OH",1220.0,1085150.0,1.1242685343040133
"Cleveland, OH",1160.0,1036780.0,1.1188487432242136
"Santa Cruz-Watsonville, CA",110.0,98750.0,1.1139240506329113
"Louisville/Jefferson County, KY-IN",760.0,686050.0,1.1077909773340135
"Kennewick-Richland, WA",140.0,127290.0,1.0998507345431692
"Jacksonville, FL",830.0,756360.0,1.097361045005024
"Tucson, AZ",420.0,385930.0,1.0882802580778899
"Lewiston, ID-WA",30.0,27910.0,1.0748835542816195
"Waterbury-Shelton, CT",170.0,158640.0,1.0716086737266768
"Warner Robins, GA",80.0,75750.0,1.056105610561056
"Syracuse, NY",310.0,295110.0,1.050455762258141
"Logan, UT-ID",70.0,66730.0,1.0490034467256106
"Binghamton, NY",100.0,96360.0,1.03777501037775
"St. George, UT",90.0,86740.0,1.0375835831219737
"Lewiston-Auburn, ME",50.0,48280.0,1.035625517812759
"Fargo, ND-MN",150.0,147570.0,1.0164667615368976
"Florence, SC",90.0,89940.0,1.0006671114076051
"Akron, OH",320.0,320080.0,0.999750062484379
"Burlington-South Burlington, VT",120.0,121320.0,0.9891196834817012
"Tallahassee, FL",180.0,184180.0,0.9773048105114561
"Bangor, ME",70.0,71650.0,0.9769713886950454
"Iowa City, IA",90.0,92330.0,0.9747644319289506
"Evansville, IN",130.0,134960.0,0.9632483698873741
"La Crosse-Onalaska, WI-MN",80.0,83080.0,0.9629272989889263
"El Paso, TX",320.0,332330.0,0.9628983239551049
"Kansas City, MO-KS",1050.0,1093430.0,0.9602809507695966
"Winston-Salem, NC",260.0,273340.0,0.9511963122850663
"Hartford-West Hartford-East Hartford, CT",560.0,592620.0,0.9449562957713206
"Battle Creek, MI",50.0,53610.0,0.9326618168252192
