institution_id,institution,ai_works,city,country,country_code,region,lat,lon,type
https://openalex.org/I74973139,Carnegie Mellon University,1997,Pittsburgh,United States,US,Pennsylvania,40.44062,-79.99589,education
https://openalex.org/I200769079,Hong Kong University of Science and Technology,1984,Hong Kong,Hong Kong,HK,,22.27832,114.17469,education
https://openalex.org/I4210100255,Beijing Academy of Artificial Intelligence,1943,Beijing,China,CN,,39.99357223510742,116.3315200805664,other
https://openalex.org/I145311948,Johns Hopkins University,1930,Baltimore,United States,US,Maryland,39.29038,-76.61219,education
https://openalex.org/I196699116,Wuhan University of Technology,1924,Wuhan,China,CN,,30.583330154418945,114.26667022705078,education
https://openalex.org/I168719708,City University of Hong Kong,1911,Hong Kong,Hong Kong,HK,,22.2783203125,114.17469024658203,education
https://openalex.org/I194450716,Jilin University,1902,Changchun,China,CN,Jilin,43.88,125.32278,education
https://openalex.org/I74801974,The University of Tokyo,1864,Tokyo,Japan,JP,,35.68949890136719,139.69171142578125,education
https://openalex.org/I27837315,University of Michigan,1859,Ann Arbor,United States,US,Michigan,42.27756,-83.74088,education
https://openalex.org/I21193070,Beijing Jiaotong University,1834,Beijing,China,CN,,39.907501220703125,116.39723205566406,education
https://openalex.org/I241749,University of Cambridge,1829,Cambridge,United Kingdom,GB,England,52.2,0.11667,education
https://openalex.org/I35440088,ETH Zurich,1819,Zurich,Switzerland,CH,Zurich,47.36667,8.55,education
https://openalex.org/I887064364,University of Amsterdam,1811,Amsterdam,The Netherlands,NL,North Holland,52.37403,4.88969,education
https://openalex.org/I4210090411,Google DeepMind (United Kingdom),1788,London,United Kingdom,GB,England,51.50853,-0.12574,company
https://openalex.org/I81556334,Amrita Vishwa Vidyapeetham,1779,Coimbatore,India,IN,Tamil Nadu,11.00555,76.96612,education
https://openalex.org/I219193219,Purdue University West Lafayette,1775,West Lafayette,United States,US,Indiana,40.42587,-86.90807,education
https://openalex.org/I101407740,Chandigarh University,1774,Mohali,India,IN,,30.679950714111328,76.72210693359375,education
https://openalex.org/I130701444,Georgia Institute of Technology,1772,Atlanta,United States,US,Georgia,33.749,-84.38798,education
https://openalex.org/I143868143,Anhui University,1752,Hefei,China,CN,,31.863889694213867,117.28083038330078,education
https://openalex.org/I16609230,Hunan University,1750,Changsha,China,CN,Hunan,28.19874,112.97087,education
https://openalex.org/I16365422,Hefei University of Technology,1734,Hefei,China,CN,,31.863889694213867,117.28083038330078,education
https://openalex.org/I881766915,Nanjing University,1726,Nanjing,China,CN,,32.061668395996094,118.77777862548828,education
https://openalex.org/I1330855593,Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,1668,Chennai,India,IN,,13.08784008026123,80.27847290039062,education
https://openalex.org/I57206974,New York University,1654,New York,United States,US,,40.714271545410156,-74.00596618652344,education
https://openalex.org/I4210137149,Renewable Energy Systems (United States),1651,Needham,United States,US,Massachusetts,42.305484771728516,-71.2287826538086,company
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,1645,Urbana,United States,US,Illinois,40.11059,-88.20727,education
https://openalex.org/I4800084,Southwest Jiaotong University,1643,Chengdu,China,CN,,30.666669845581055,104.0666732788086,education
https://openalex.org/I201448701,University of Washington,1636,Seattle,United States,US,Washington,47.60621,-122.33207,education
https://openalex.org/I4210127384,Prompt (Canada),1636,Montreal,Canada,CA,Quebec,45.5020751953125,-73.56744384765625,company
https://openalex.org/I191208505,Xiamen University,1630,Xiamen,China,CN,,24.47978973388672,118.08187103271484,education
https://openalex.org/I205783295,Cornell University,1614,Ithaca,United States,US,New York,42.44063,-76.49661,education
https://openalex.org/I37796252,Beijing University of Technology,1595,Beijing,China,CN,,39.907501220703125,116.39723205566406,education
https://openalex.org/I113940042,Shanghai University,1563,Shanghai,China,CN,,31.222219467163086,121.45806121826172,education
https://openalex.org/I55712492,Zhejiang University of Technology,1551,Hangzhou,China,CN,,30.293649673461914,120.16142272949219,education
https://openalex.org/I200845125,Nanjing University of Information Science and Technology,1530,Nanjing,China,CN,Jiangsu,32.06167,118.77778,education
https://openalex.org/I95457486,"University of California, Berkeley",1517,Berkeley,United States,US,California,37.87159,-122.27275,education
https://openalex.org/I139024713,Guangdong University of Technology,1515,Guangzhou,China,CN,,23.03895378112793,113.39608001708984,education
https://openalex.org/I129604602,The University of Sydney,1508,Sydney,Australia,AU,New South Wales,-33.86785,151.20732,education
https://openalex.org/I165779595,The University of Melbourne,1499,Melbourne,Australia,AU,Victoria,-37.814,144.96332,education
https://openalex.org/I244572783,Symbiosis International University,1499,Pune,India,IN,Maharashtra,18.51957,73.85535,education
https://openalex.org/I139264467,Seoul National University,1498,Seoul,South Korea,KR,Seoul,37.566,126.9784,education
https://openalex.org/I50760025,Hangzhou Dianzi University,1485,Hangzhou,China,CN,,30.293649673461914,120.16142272949219,education
https://openalex.org/I154526488,Inserm,1482,Paris,France,FR,Île-de-France,48.85341,2.3488,government
https://openalex.org/I151727225,Harbin Engineering University,1475,Harbin,China,CN,,45.75,126.6500015258789,education
